epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,42.9946,0.21608,0.98801,1,0.08712,0.000414673,0.000414673,0.000414673
2,82.412,0.08918,0.98801,1,0.05515,0.000814879,0.000814879,0.000814879
3,116.798,0.09588,0.98681,1,0.04861,0.00119859,0.00119859,0.00119859
4,152.187,0.08986,0.98441,1,0.05452,0.00117575,0.00117575,0.00117575
5,186.631,0.08939,0.97842,1,0.07788,0.001151,0.001151,0.001151
6,220.799,0.1064,0.98681,1,0.0495,0.00112625,0.00112625,0.00112625
7,254.953,0.07259,0.98321,1,0.04992,0.0011015,0.0011015,0.0011015
8,289.474,0.07399,0.98681,1,0.04589,0.00107675,0.00107675,0.00107675
9,323.844,0.07771,0.98801,1,0.05879,0.001052,0.001052,0.001052
10,359.033,0.07857,0.98561,1,0.07329,0.00102725,0.00102725,0.00102725
11,395.016,0.058,0.98681,1,0.0578,0.0010025,0.0010025,0.0010025
12,432.171,0.05062,0.98561,1,0.05413,0.00097775,0.00097775,0.00097775
13,470.783,0.06012,0.97842,1,0.0726,0.000953,0.000953,0.000953
14,507.741,0.04782,0.99041,1,0.0353,0.00092825,0.00092825,0.00092825
15,544.152,0.05127,0.98321,1,0.05839,0.0009035,0.0009035,0.0009035
16,580.044,0.05414,0.98921,1,0.04227,0.00087875,0.00087875,0.00087875
17,616.036,0.04228,0.98801,1,0.04807,0.000854,0.000854,0.000854
18,654.75,0.04298,0.98681,1,0.05389,0.00082925,0.00082925,0.00082925
19,690.647,0.03186,0.98801,1,0.04415,0.0008045,0.0008045,0.0008045
20,726.255,0.03727,0.98201,1,0.04977,0.00077975,0.00077975,0.00077975
21,762.064,0.04892,0.98561,1,0.06127,0.000755,0.000755,0.000755
22,798.598,0.04689,0.98561,1,0.06432,0.00073025,0.00073025,0.00073025
23,835.446,0.03263,0.98441,1,0.05317,0.0007055,0.0007055,0.0007055
24,873.042,0.02455,0.98801,1,0.04787,0.00068075,0.00068075,0.00068075
25,909.464,0.0282,0.98441,1,0.05541,0.000656,0.000656,0.000656
26,950.856,0.02954,0.98441,1,0.04784,0.00063125,0.00063125,0.00063125
27,987.785,0.03731,0.98441,1,0.05904,0.0006065,0.0006065,0.0006065
28,1025.31,0.03314,0.98801,1,0.04294,0.00058175,0.00058175,0.00058175
29,1061.93,0.02504,0.98561,1,0.04045,0.000557,0.000557,0.000557
30,1099.11,0.02808,0.98441,1,0.05487,0.00053225,0.00053225,0.00053225
31,1135.17,0.03481,0.98801,1,0.04755,0.0005075,0.0005075,0.0005075
32,1173.2,0.02036,0.98681,1,0.04479,0.00048275,0.00048275,0.00048275
33,1211.37,0.02969,0.98801,1,0.04448,0.000458,0.000458,0.000458
34,1246.69,0.02219,0.98681,1,0.04338,0.00043325,0.00043325,0.00043325
35,1282.36,0.0317,0.98561,1,0.04169,0.0004085,0.0004085,0.0004085
36,1318.2,0.02204,0.98681,1,0.04672,0.00038375,0.00038375,0.00038375
37,1354.01,0.01872,0.98801,1,0.04845,0.000359,0.000359,0.000359
38,1389.74,0.02714,0.99041,1,0.03648,0.00033425,0.00033425,0.00033425
39,1425.73,0.01947,0.98921,1,0.03753,0.0003095,0.0003095,0.0003095
40,1461.58,0.01833,0.98801,1,0.04035,0.00028475,0.00028475,0.00028475
41,1497.61,0.0153,0.98801,1,0.04431,0.00026,0.00026,0.00026
42,1534.66,0.02221,0.98681,1,0.04421,0.00023525,0.00023525,0.00023525
43,1571.3,0.01573,0.98801,1,0.04431,0.0002105,0.0002105,0.0002105
44,1607.36,0.01689,0.98801,1,0.04636,0.00018575,0.00018575,0.00018575
45,1643.62,0.02222,0.98801,1,0.0401,0.000161,0.000161,0.000161
46,1679.62,0.02065,0.98921,1,0.03544,0.00013625,0.00013625,0.00013625
47,1715.66,0.01749,0.99041,1,0.03365,0.0001115,0.0001115,0.0001115
48,1753.09,0.01517,0.98921,1,0.03794,8.675e-05,8.675e-05,8.675e-05
49,1790.82,0.01805,0.98921,1,0.03982,6.2e-05,6.2e-05,6.2e-05
50,1826.72,0.01328,0.98801,1,0.04167,3.725e-05,3.725e-05,3.725e-05
